Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.2022	0	0	0	LastDelay	0.2022	202200	1	3
0.2022	0	0	0	FullDelay	0.2022	202200	1	3
1.08686	0	0	1	LastDelay	0.086856	86856	1	3
1.08686	0	0	1	FullDelay	0.086856	86856	1	3
2.58686	0	0	3	LastDelay	0.086856	86856	1	3
2.58686	0	0	3	FullDelay	0.086856	86856	1	3
4.08686	0	0	5	LastDelay	0.086856	86856	1	3
4.08686	0	0	5	FullDelay	0.086856	86856	1	3
5.58686	0	0	7	LastDelay	0.086856	86856	1	3
5.58686	0	0	7	FullDelay	0.086856	86856	1	3
7.08686	0	0	9	LastDelay	0.086856	86856	1	3
7.08686	0	0	9	FullDelay	0.086856	86856	1	3
8.58686	0	0	11	LastDelay	0.086856	86856	1	3
8.58686	0	0	11	FullDelay	0.086856	86856	1	3
10.0869	0	0	13	LastDelay	0.086856	86856	1	3
10.0869	0	0	13	FullDelay	0.086856	86856	1	3
11.5869	0	0	15	LastDelay	0.086856	86856	1	3
11.5869	0	0	15	FullDelay	0.086856	86856	1	3
13.0869	0	0	17	LastDelay	0.086856	86856	1	3
13.0869	0	0	17	FullDelay	0.086856	86856	1	3
14.5869	0	0	19	LastDelay	0.086856	86856	1	3
14.5869	0	0	19	FullDelay	0.086856	86856	1	3
16.0869	0	0	21	LastDelay	0.086856	86856	1	3
16.0869	0	0	21	FullDelay	0.086856	86856	1	3
17.5869	0	0	23	LastDelay	0.086856	86856	1	3
17.5869	0	0	23	FullDelay	0.086856	86856	1	3
19.0869	0	0	25	LastDelay	0.086856	86856	1	3
19.0869	0	0	25	FullDelay	0.086856	86856	1	3
