Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.20234	3	0	0	LastDelay	0.202344	202344	1	3
1.20234	3	0	0	FullDelay	0.202344	202344	1	3
1.22097	0	0	0	LastDelay	1.22097	1.22097e+06	1	4
1.22097	0	0	0	FullDelay	1.22097	1.22097e+06	1	4
2.05782	6	0	0	LastDelay	0.057824	57824	1	1
2.05782	6	0	0	FullDelay	0.057824	57824	1	1
2.08686	3	0	1	LastDelay	0.086856	86856	1	3
2.08686	3	0	1	FullDelay	0.086856	86856	1	3
2.10548	0	0	1	LastDelay	1.10548	1.10548e+06	1	4
2.10548	0	0	1	FullDelay	1.10548	1.10548e+06	1	4
3.02895	6	0	1	LastDelay	0.028952	28952	1	1
3.02895	6	0	1	FullDelay	0.028952	28952	1	1
4.08686	3	0	2	LastDelay	0.086856	86856	1	3
4.08686	3	0	2	FullDelay	0.086856	86856	1	3
4.5579	0	0	2	LastDelay	0.057904	57904	1	2
4.5579	0	0	2	FullDelay	2.5579	2.5579e+06	2	2
5.02895	6	0	2	LastDelay	0.028952	28952	1	1
5.02895	6	0	2	FullDelay	0.028952	28952	1	1
6.09718	3	0	3	LastDelay	0.097184	97184	1	3
6.09718	3	0	3	FullDelay	0.097184	97184	1	3
6.11581	0	0	3	LastDelay	0.115808	115808	1	4
6.11581	0	0	3	FullDelay	2.61581	2.61581e+06	2	4
7.02895	6	0	3	LastDelay	0.028952	28952	1	1
7.02895	6	0	3	FullDelay	0.028952	28952	1	1
8.08686	3	0	4	LastDelay	0.086856	86856	1	3
8.08686	3	0	4	FullDelay	0.086856	86856	1	3
8.10548	0	0	4	LastDelay	0.60548	605480	1	4
8.10548	0	0	4	FullDelay	0.60548	605480	1	4
9.02895	6	0	4	LastDelay	0.028952	28952	1	1
9.02895	6	0	4	FullDelay	0.028952	28952	1	1
10.0869	3	0	5	LastDelay	0.086856	86856	1	3
10.0869	3	0	5	FullDelay	0.086856	86856	1	3
10.1055	0	0	5	LastDelay	1.10548	1.10548e+06	1	4
10.1055	0	0	5	FullDelay	1.10548	1.10548e+06	1	4
11.029	6	0	5	LastDelay	0.028952	28952	1	1
11.029	6	0	5	FullDelay	0.028952	28952	1	1
12.0869	3	0	6	LastDelay	0.086856	86856	1	3
12.0869	3	0	6	FullDelay	0.086856	86856	1	3
13.029	6	0	6	LastDelay	0.028952	28952	1	1
13.029	6	0	6	FullDelay	0.028952	28952	1	1
14.5579	0	0	6	LastDelay	0.057904	57904	1	2
14.5579	0	0	6	FullDelay	4.5579	4.5579e+06	2	2
15.0579	6	0	7	LastDelay	0.057904	57904	1	2
15.0579	6	0	7	FullDelay	0.057904	57904	1	2
17.0579	3	0	7	LastDelay	0.057904	57904	1	2
17.0579	3	0	7	FullDelay	3.0579	3.0579e+06	2	2
17.0579	6	0	8	LastDelay	0.057904	57904	1	2
17.0579	6	0	8	FullDelay	0.057904	57904	1	2
17.0765	0	0	7	LastDelay	1.07653	1.07653e+06	1	3
17.0765	0	0	7	FullDelay	5.57653	5.57653e+06	2	3
19.0579	3	0	8	LastDelay	0.057904	57904	1	2
19.0579	3	0	8	FullDelay	4.0579	4.0579e+06	2	2
19.0579	6	0	9	LastDelay	0.057904	57904	1	2
19.0579	6	0	9	FullDelay	0.057904	57904	1	2
19.0765	0	0	8	LastDelay	0.576528	576528	1	3
19.0765	0	0	8	FullDelay	6.57653	6.57653e+06	2	3
