Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
4.0971	3	0	0	LastDelay	1.0971	1.0971e+06	1	2
4.0971	3	0	0	FullDelay	3.0971	3.0971e+06	2	2
4.12435	0	0	1	LastDelay	0.124352	124352	1	3
4.12435	0	0	1	FullDelay	3.12435	3.12435e+06	2	3
4.14452	6	0	0	LastDelay	0.14452	144520	1	2
4.14452	6	0	0	FullDelay	2.14452	2.14452e+06	2	2
5.02895	3	0	1	LastDelay	0.028952	28952	1	1
5.02895	3	0	1	FullDelay	3.02895	3.02895e+06	2	1
6	6	0	1	LastDelay	0	0	1	0
6	6	0	1	FullDelay	3	3e+06	2	0
7.0579	3	0	2	LastDelay	0.057904	57904	1	2
7.0579	3	0	2	FullDelay	3.0579	3.0579e+06	2	2
8.02895	6	0	2	LastDelay	0.028952	28952	1	1
8.02895	6	0	2	FullDelay	3.02895	3.02895e+06	2	1
8.0579	0	0	2	LastDelay	0.057904	57904	1	2
8.0579	0	0	2	FullDelay	5.0579	5.0579e+06	2	2
9.0579	3	0	3	LastDelay	0.057904	57904	1	2
9.0579	3	0	3	FullDelay	0.057904	57904	1	2
9.3079	0	0	3	LastDelay	0.057904	57904	1	2
9.3079	0	0	3	FullDelay	4.3079	4.3079e+06	2	2
10.029	6	0	3	LastDelay	0.028952	28952	1	1
10.029	6	0	3	FullDelay	0.028952	28952	1	1
10.5869	0	0	5	LastDelay	0.086856	86856	1	3
10.5869	0	0	5	FullDelay	3.58686	3.58686e+06	2	3
11.0579	3	0	4	LastDelay	0.057904	57904	1	2
11.0579	3	0	4	FullDelay	0.057904	57904	1	2
11.8079	0	0	4	LastDelay	0.057904	57904	1	2
11.8079	0	0	4	FullDelay	5.8079	5.8079e+06	2	2
12.029	6	0	4	LastDelay	0.028952	28952	1	1
12.029	6	0	4	FullDelay	0.028952	28952	1	1
13.029	3	0	5	LastDelay	0.028952	28952	1	1
13.029	3	0	5	FullDelay	0.028952	28952	1	1
14	6	0	5	LastDelay	0	0	1	0
14	6	0	5	FullDelay	0	0	1	0
16.0682	3	0	6	LastDelay	1.06823	1.06823e+06	1	2
16.0682	3	0	6	FullDelay	1.06823	1.06823e+06	1	2
16.0869	6	0	6	LastDelay	0.086856	86856	1	3
16.0869	6	0	6	FullDelay	0.086856	86856	1	3
16.0869	0	0	6	LastDelay	0.086856	86856	1	3
16.0869	0	0	6	FullDelay	3.08686	3.08686e+06	4	3
18.0869	6	0	7	LastDelay	0.086856	86856	1	3
18.0869	6	0	7	FullDelay	0.086856	86856	1	3
18.0869	0	0	7	LastDelay	0.836856	836856	1	3
18.0869	0	0	7	FullDelay	0.836856	836856	1	3
